date,type,link,kubikmeter,produkt,currency,price,category,subcategory
2025-10-08 01:24:23,Verpackungen,www.clearago.de,30.0,Altpapier & Karton,€,550.0,Karton,& Karton
2025-10-08 01:24:23,Verpackungen,www.clearago.de,36.0,Altpapier & Karton,€,610.0,Karton,& Karton
2025-10-08 01:24:23,Verpackungen,www.clearago.de,40.0,Altpapier & Karton,€,650.0,Karton,& Karton
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Baumischabfall (über 15% Schutt / Erde),€,460.0,Baumischabfall,über 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Baumischabfall (über 15% Schutt / Erde),€,700.0,Baumischabfall,über 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.5,Baumischabfall (über 15% Schutt / Erde),€,780.0,Baumischabfall,über 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Baumischabfall (über 15% Schutt / Erde),€,840.0,Baumischabfall,über 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,8.0,Baumischabfall (über 15% Schutt / Erde),€,920.0,Baumischabfall,über 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Baumischabfall (bis 15% Schutt / Erde),€,425.0,Baumischabfall,bis 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Baumischabfall (bis 15% Schutt / Erde),€,530.0,Baumischabfall,bis 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Baumischabfall (bis 15% Schutt / Erde),€,700.0,Baumischabfall,bis 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,8.0,Baumischabfall (bis 15% Schutt / Erde),€,830.0,Baumischabfall,bis 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,Baumischabfall (bis 15% Schutt / Erde),€,985.0,Baumischabfall,bis 15% Schutt / Erde
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Bauschutt mit Fremdanteilen (<5%),€,370.0,Baumischabfall,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Bauschutt mit Fremdanteilen (<5%),€,370.0,Baumischabfall,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Bauschutt mit Fremdanteilen (<5%),€,505.0,Baumischabfall,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.5,Bauschutt mit Fremdanteilen (<5%),€,620.0,Baumischabfall,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Bauschutt mit Fremdanteilen (<5%),€,670.0,Baumischabfall,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,8.0,Bauschutt mit Fremdanteilen (<5%),€,840.0,Baumischabfall,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,Bauschutt mit Fremdanteilen (<5%),€,920.0,Baumischabfall,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Bauschutt ohne Fremdanteile,€,320.0,Baumischabfall,ohne Fremdanteile
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Bauschutt ohne Fremdanteile,€,320.0,Baumischabfall,ohne Fremdanteile
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Bauschutt ohne Fremdanteile,€,475.0,Baumischabfall,ohne Fremdanteile
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.5,Bauschutt ohne Fremdanteile,€,540.0,Baumischabfall,ohne Fremdanteile
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Bauschutt ohne Fremdanteile,€,545.0,Baumischabfall,ohne Fremdanteile
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,8.0,Bauschutt ohne Fremdanteile,€,790.0,Baumischabfall,ohne Fremdanteile
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,Bauschutt ohne Fremdanteile,€,805.0,Baumischabfall,ohne Fremdanteile
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Beton mit Stahl (Kantenlänge < 60 cm),€,290.0,Beton,mit Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Beton mit Stahl (Kantenlänge < 60 cm),€,290.0,Beton,mit Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Beton mit Stahl (Kantenlänge < 60 cm),€,450.0,Beton,mit Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Beton mit Stahl (Kantenlänge < 60 cm),€,555.0,Beton,mit Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,8.0,Beton mit Stahl (Kantenlänge < 60 cm),€,660.0,Beton,mit Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,260.0,Beton,ohne Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,260.0,Beton,ohne Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,350.0,Beton,ohne Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,8.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,595.0,Beton,ohne Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,865.0,Beton,ohne Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,13.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,995.0,Beton,ohne Stahl (Kantenlänge < 60 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,KMF-Dämmung & Mineralwolle,€,395.0,Glaswolle,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,KMF-Dämmung & Mineralwolle,€,430.0,Glaswolle,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,KMF-Dämmung & Mineralwolle,€,505.0,Glaswolle,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,KMF-Dämmung & Mineralwolle,€,620.0,Glaswolle,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,12.0,KMF-Dämmung & Mineralwolle,€,710.0,Glaswolle,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,15.0,KMF-Dämmung & Mineralwolle,€,825.0,Glaswolle,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Styropor,€,375.0,Styropor,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Styropor,€,375.0,Styropor,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Styropor,€,625.0,Styropor,general
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Styropor,€,865.0,Styropor,general
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,3.0,Erdaushub mit Fremdanteilen (<5%),€,385.0,Erdaushub,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,3.0,Erdaushub mit Fremdanteilen (<5%),€,385.0,Erdaushub,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,5.0,Erdaushub mit Fremdanteilen (<5%),€,500.0,Erdaushub,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,5.5,Erdaushub mit Fremdanteilen (<5%),€,580.0,Erdaushub,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,7.0,Erdaushub mit Fremdanteilen (<5%),€,640.0,Erdaushub,mit Fremdanteilen (<5%)
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,3.0,Erdaushub ohne Fremdanteile,€,315.0,Erdaushub,ohne Fremdanteile
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,3.0,Erdaushub ohne Fremdanteile,€,315.0,Erdaushub,ohne Fremdanteile
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,5.0,Erdaushub ohne Fremdanteile,€,465.0,Erdaushub,ohne Fremdanteile
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,5.5,Erdaushub ohne Fremdanteile,€,500.0,Erdaushub,ohne Fremdanteile
2025-10-08 01:24:23,Dienstleistungen,www.clearago.de,7.0,Erdaushub ohne Fremdanteile,€,600.0,Erdaushub,ohne Fremdanteile
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,3.0,Baumstumpen & Wurzeln,€,395.0,Baumstämme,& Wurzeln
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,5.0,Baumstumpen & Wurzeln,€,490.0,Baumstämme,& Wurzeln
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,7.0,Baumstumpen & Wurzeln,€,585.0,Baumstämme,& Wurzeln
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,10.0,Baumstumpen & Wurzeln,€,745.0,Baumstämme,& Wurzeln
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,12.0,Baumstumpen & Wurzeln,€,870.0,Baumstämme,& Wurzeln
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,3.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,245.0,Gartenabfälle,& Grünschnitt (∅ < 15 cm)
