date,link,kubikmeter,produkt,currency,price
2025-10-09 19:00:34,www.clearago.de,3.0,Bauschutt ohne Fremdanteile,€,320.0
2025-10-09 19:00:34,www.clearago.de,3.0,Bauschutt ohne Fremdanteile,€,320.0
2025-10-09 19:00:34,www.clearago.de,5.0,Bauschutt ohne Fremdanteile,€,475.0
2025-10-09 19:00:34,www.clearago.de,5.5,Bauschutt ohne Fremdanteile,€,540.0
2025-10-09 19:00:34,www.clearago.de,7.0,Bauschutt ohne Fremdanteile,€,545.0
2025-10-09 19:00:34,www.clearago.de,8.0,Bauschutt ohne Fremdanteile,€,790.0
2025-10-09 19:00:34,www.clearago.de,10.0,Bauschutt ohne Fremdanteile,€,805.0
2025-10-09 19:00:34,www.clearago.de,3.0,Beton mit Stahl (Kantenlänge < 60 cm),€,290.0
2025-10-09 19:00:34,www.clearago.de,3.0,Beton mit Stahl (Kantenlänge < 60 cm),€,290.0
2025-10-09 19:00:34,www.clearago.de,5.0,Beton mit Stahl (Kantenlänge < 60 cm),€,450.0
2025-10-09 19:00:34,www.clearago.de,7.0,Beton mit Stahl (Kantenlänge < 60 cm),€,555.0
2025-10-09 19:00:34,www.clearago.de,8.0,Beton mit Stahl (Kantenlänge < 60 cm),€,660.0
2025-10-09 19:00:34,www.clearago.de,3.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,260.0
2025-10-09 19:00:34,www.clearago.de,3.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,260.0
2025-10-09 19:00:34,www.clearago.de,7.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,350.0
2025-10-09 19:00:34,www.clearago.de,8.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,595.0
2025-10-09 19:00:34,www.clearago.de,10.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,865.0
2025-10-09 19:00:34,www.clearago.de,13.0,Beton ohne Stahl (Kantenlänge < 60 cm),€,995.0
2025-10-09 19:00:34,www.clearago.de,5.0,KMF-Dämmung & Mineralwolle,€,430.0
2025-10-09 19:00:34,www.clearago.de,7.0,KMF-Dämmung & Mineralwolle,€,505.0
2025-10-09 19:00:34,www.clearago.de,10.0,KMF-Dämmung & Mineralwolle,€,620.0
2025-10-09 19:00:34,www.clearago.de,12.0,KMF-Dämmung & Mineralwolle,€,710.0
2025-10-09 19:00:34,www.clearago.de,15.0,KMF-Dämmung & Mineralwolle,€,825.0
2025-10-09 19:00:34,www.clearago.de,3.0,Styropor,€,375.0
2025-10-09 19:00:34,www.clearago.de,3.0,Styropor,€,375.0
2025-10-09 19:00:34,www.clearago.de,5.0,Styropor,€,625.0
2025-10-09 19:00:34,www.clearago.de,7.0,Styropor,€,865.0
2025-10-09 19:00:34,www.clearago.de,3.0,Erdaushub mit Fremdanteilen (<5%),€,385.0
2025-10-09 19:00:34,www.clearago.de,3.0,Erdaushub mit Fremdanteilen (<5%),€,385.0
2025-10-09 19:00:34,www.clearago.de,5.0,Erdaushub mit Fremdanteilen (<5%),€,500.0
2025-10-09 19:00:34,www.clearago.de,5.5,Erdaushub mit Fremdanteilen (<5%),€,580.0
2025-10-09 19:00:34,www.clearago.de,7.0,Erdaushub mit Fremdanteilen (<5%),€,640.0
2025-10-09 19:00:34,www.clearago.de,3.0,Erdaushub ohne Fremdanteile,€,315.0
2025-10-09 19:00:34,www.clearago.de,3.0,Erdaushub ohne Fremdanteile,€,315.0
2025-10-09 19:00:34,www.clearago.de,5.0,Erdaushub ohne Fremdanteile,€,465.0
2025-10-09 19:00:34,www.clearago.de,5.5,Erdaushub ohne Fremdanteile,€,500.0
2025-10-09 19:00:34,www.clearago.de,7.0,Erdaushub ohne Fremdanteile,€,600.0
2025-10-09 19:00:34,www.clearago.de,3.0,Baumstumpen & Wurzeln,€,395.0
2025-10-09 19:00:34,www.clearago.de,5.0,Baumstumpen & Wurzeln,€,490.0
2025-10-09 19:00:34,www.clearago.de,7.0,Baumstumpen & Wurzeln,€,585.0
2025-10-09 19:00:34,www.clearago.de,10.0,Baumstumpen & Wurzeln,€,745.0
2025-10-09 19:00:34,www.clearago.de,12.0,Baumstumpen & Wurzeln,€,870.0
2025-10-09 19:00:34,www.clearago.de,3.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,245.0
2025-10-09 19:00:34,www.clearago.de,5.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,340.0
2025-10-09 19:00:34,www.clearago.de,7.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,395.0
